[# ERROR | 2023-03-08 | 22:48:22.081 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:22.175 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:22.269 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:22.376 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:22.468 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:22.578 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:22.670 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:22.779 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:22.872 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:22.981 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:23.074 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:23.168 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:23.275 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:23.368 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:23.475 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:23.569 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:23.678 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:23.770 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:23.879 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:23.972 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:24.066 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:24.176 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:24.269 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:24.377 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:24.471 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:24.580 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:24.673 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:24.782 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:24.873 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:24.968 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:25.076 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:25.171 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:25.278 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:25.371 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:25.478 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:25.572 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:25.680 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:25.774 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:25.880 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:25.973 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:26.082 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:26.176 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:26.269 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:26.378 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:26.470 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:26.579 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:26.671 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:26.776 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:26.869 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:26.976 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:27.070 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:27.179 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:27.273 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:27.380 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:27.473 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:27.581 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:27.673 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:27.767 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:27.877 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:27.970 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:28.079 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:28.172 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:28.280 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:28.374 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
[# ERROR | 2023-03-08 | 22:48:28.467 | PID=30612 | ThreadId=11420 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Zugriff verweigert] #]
